,Date,Latitude,Longitude,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,CZ_TIMEZONE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
0,2004-12-07,33,-88,1182987,5430439,ALABAMA,1,Thunderstorm Wind,C,63,GREENE,BMX,CST,0,0,0,0,1K,,LAW ENFORCEMENT,52.0,EG,,,,,,,,,,,A few trees were blown down along US 11 near Eutaw.,PDS
1,2004-12-07,37,-86,1182786,5430509,TENNESSEE,47,Thunderstorm Wind,C,111,MACON,OHX,CST,0,0,0,0,,,LAW ENFORCEMENT,50.0,EG,,,,,,,,,,,Report of 2 trees were blown down on a rural county road near Lafayette.,PDS
2,2004-12-10,37,-86,1182787,5430629,TENNESSEE,47,Hail,C,111,MACON,OHX,CST,0,0,0,0,,,LAW ENFORCEMENT,1.75,,,,,,,,,,,,Hailing so hard afraid it was damaging tractor.,PDS
3,2004-12-07,36,-86,1182786,5430618,TENNESSEE,47,Thunderstorm Wind,C,141,PUTNAM,OHX,CST,0,0,0,0,,,DEPT OF HIGHWAYS,50.0,EG,,,,,,,,,,,TDOT reported a few trees were blown down. One was at Rocky Point Road and the other was at Cumby Rd.,PDS
4,2004-12-07,36,-86,1182786,5430619,TENNESSEE,47,Thunderstorm Wind,C,41,DEKALB,OHX,CST,0,0,0,0,,,DEPT OF HIGHWAYS,50.0,EG,,,,,,,,,,,A tree was down on Evans Mill Rd.,PDS
5,2004-12-07,36,-86,1182786,5430620,TENNESSEE,47,Thunderstorm Wind,C,87,JACKSON,OHX,CST,0,0,0,0,,,DEPT OF HIGHWAYS,50.0,EG,,,,,,,,,,,TDOT reported a tree was blown down.,PDS
6,2004-12-07,36,-86,1182786,5430621,TENNESSEE,47,Thunderstorm Wind,C,149,RUTHERFORD,OHX,CST,0,0,0,0,,,DEPT OF HIGHWAYS,50.0,EG,,,,,,,,,,,"TDOT reported a tree was down across a road, but it has since been removed.",PDS
7,2004-12-07,36,-86,1182786,5430622,TENNESSEE,47,Thunderstorm Wind,C,159,SMITH,OHX,CST,0,0,0,0,,,LAW ENFORCEMENT,50.0,EG,,,,,,,,,,,Sheriff's office reported a tree was blown down.,PDS
8,2004-12-07,36,-86,1182786,5430623,TENNESSEE,47,Thunderstorm Wind,C,189,WILSON,OHX,CST,0,0,0,0,,,DEPT OF HIGHWAYS,50.0,EG,,,,,,,,,,,TDOT reported a tree was down on Callas Rd.,PDS
9,2004-12-10,36,-87,1182787,5430625,TENNESSEE,47,Hail,C,37,DAVIDSON,OHX,CST,0,0,0,0,,,LAW ENFORCEMENT,1.75,,,,,,,,,,,,,PDS
10,2004-12-10,36,-87,1182787,5430626,TENNESSEE,47,Hail,C,189,WILSON,OHX,CST,0,0,0,0,,,POST OFFICE,1.75,,,,,,,,,,,,Golf ball size hail reported at the Sonic in Mt. Juliet.,PDS
11,2004-12-10,36,-86,1182787,5430627,TENNESSEE,47,Hail,C,3,BEDFORD,OHX,CST,0,0,0,0,,,EMERGENCY MANAGER,0.88,,,,,,,,,,,,,PDS
12,2004-12-10,36,-87,1182787,5430628,TENNESSEE,47,Hail,C,149,RUTHERFORD,OHX,CST,0,0,0,0,,,TRAINED SPOTTER,1.0,,,,,,,,,,,,,PDS
13,2004-12-10,35,-86,1182787,5430634,TENNESSEE,47,Hail,C,3,BEDFORD,OHX,CST,0,0,0,0,,,TRAINED SPOTTER,0.75,,,,,,,,,,,,,PDS
14,2004-12-10,32,-84,1182906,5430853,GEORGIA,13,Thunderstorm Wind,C,287,TURNER,TAE,EST,1,0,0,0,20K,,EMERGENCY MANAGER,65.0,EG,,,,,,,,,,,One person was injured when their single-wide trailer overturned.  Reported by the Turner County EMA.,PDS
15,2004-12-10,31,-84,1182906,5430854,GEORGIA,13,Thunderstorm Wind,C,71,COLQUITT,TAE,EST,0,0,0,0,50K,,LAW ENFORCEMENT,65.0,EG,,,,,,,,,,,"Numerous trees and power lines were down from Center Hill to Moultrie, along State Highways 111 and 37.  Several trees fell onto mobile homes.  A lodge in Moultrie lost part of its roof.  Reported by the Colquitt County Sheriff.",PDS
16,2004-12-10,31,-84,1182906,5430855,GEORGIA,13,Thunderstorm Wind,C,71,COLQUITT,TAE,EST,0,0,0,0,20K,,LAW ENFORCEMENT,65.0,EG,,,,,,,,,,,Numerous trees were down.  Several tin roofs were damaged.  Reported by the Colquitt County Sheriff.,PDS
17,2004-12-10,31,-83,1182906,5430856,GEORGIA,13,Thunderstorm Wind,C,75,COOK,TAE,EST,0,0,0,0,1K,,LAW ENFORCEMENT,65.0,EG,,,,,,,,,,,Numerous trees were down.  Reported by the Cook County Sheriff.,PDS
18,2004-12-10,30,-84,1182907,5430857,FLORIDA,12,Thunderstorm Wind,C,129,WAKULLA,TAE,EST,0,0,0,0,2K,,LAW ENFORCEMENT,60.0,EG,,,,,,,,,,,A few trees and power lines were down.  Reported by the Wakulla County Sheriff.,PDS
19,2004-12-09,32,-89,1182727,5430610,MISSISSIPPI,28,Tornado,C,69,KEMPER,JAN,CST,0,0,0,0,5K,,NWS STORM SURVEY,,,,,F0,0.2,50.0,,,,,,This weak tornado downed several trees when it briefly touched down southwest of DeKalb.,PDS
20,2004-12-10,36,-79,1182865,5430759,NORTH CAROLINA,37,Hail,C,145,PERSON,RAH,EST,0,0,0,0,,,NWS EMPLOYEE(OFF DUTY),0.75,,,,,,,,,,,,,PDS
21,2004-12-10,36,-86,1182787,5430630,TENNESSEE,47,Hail,C,3,BEDFORD,OHX,CST,0,0,0,0,,,GENERAL PUBLIC,0.75,,,,,,,,,,,,Coop Observer reported dime size hail covering the ground.,PDS
22,2004-12-10,36,-86,1182787,5430631,TENNESSEE,47,Hail,C,189,WILSON,OHX,CST,0,0,0,0,,,GOVT OFFICIAL,0.88,,,,,,,,,,,,,PDS
23,2004-12-10,35,-86,1182787,5430632,TENNESSEE,47,Hail,C,31,COFFEE,OHX,CST,0,0,0,0,,,TRAINED SPOTTER,0.75,,,,,,,,,,,,"Spotter reported hail depth of one inch on the ground. Cars were slipping on highways, including I-24.",PDS
24,2004-12-10,36,-86,1182787,5430633,TENNESSEE,47,Hail,C,141,PUTNAM,OHX,CST,0,0,0,0,,,GENERAL PUBLIC,0.75,,,,,,,,,,,,,PDS
25,2004-12-10,36,-84,1182751,5430233,TENNESSEE,47,Hail,C,9,BLOUNT,MRX,EST,0,0,0,0,,,DEPT OF HIGHWAYS,0.75,,,,,,,,,,,,Penny size hail,PDS
26,2004-12-10,32,-84,1182906,5430851,GEORGIA,13,Thunderstorm Wind,C,321,WORTH,TAE,EST,0,0,0,0,150K,,LAW ENFORCEMENT,65.0,EG,,,,,,,,,,,"Several homes suffered major damage.  Numerous road signs, trees and utility poles were blown down.  Reported by Worth County 911.",PDS
27,2004-12-10,32,-84,1182906,5430852,GEORGIA,13,Thunderstorm Wind,C,177,LEE,TAE,EST,0,0,0,0,10K,,LAW ENFORCEMENT,65.0,EG,,,,,,,,,,,A home suffered roof damage.  Reported by the Lee County Sheriff.,PDS
28,2004-12-07,36,-86,1182786,5430504,TENNESSEE,47,Thunderstorm Wind,C,149,RUTHERFORD,OHX,CST,0,0,0,0,2K,,TRAINED SPOTTER,55.0,EG,,,,,,,,,,,Report of shingles and some siding ripped away from home.,PDS
29,2004-08-30,31,-89,1187080,5432605,MISSISSIPPI,28,Hail,C,47,HARRISON,LIX,CST,0,0,0,0,,,BROADCAST MEDIA,1.0,,,,,,,,,,,,Quarter size hail was observed.,PDS
30,2004-08-30,31,-89,1187081,5432606,MISSISSIPPI,28,Thunderstorm Wind,C,47,HARRISON,LIX,CST,0,0,0,0,2K,,BROADCAST MEDIA,50.0,EG,,,,,,,,,,,Thunderstorm winds knocked down trees and a gazebo and damaged sheds.,PDS
31,2004-12-06,32,-97,1183032,5432607,TEXAS,48,Thunderstorm Wind,C,139,ELLIS,FWD,CST,0,0,0,0,,,LAW ENFORCEMENT,52.0,ES,,,,,,,,,,,Several trees were blown down.,PDS
